state_variable,max_rel_diff_self_perturbation
ABi,1.4556584545139937e-05
ABmo,1.2886606677256619e-05
ABoo,2.577285427552115e-05
ABpo,0.0014208777329700007
G,1.4556584546250172e-05
tau,1.4556563352383234e-05
Fi,4.36594490157769e-05
Fo,0.0048097324384425875
N,1.4556584545539408e-05
A,0.007064822830338087
M_NA,0.0010174361304803859
M_pro,0.00706453170878428
M_anti,0.001456543795296178
Mh_pro,0.03255565915732302
Mh_anti,0.006814658937809188
Tb,0.0013471603390670269
I10,0.0013471250282277268
Ta,0.007064590704523492
P,0.007064611548344017
