criterion,demographic,published_behavior,reconstructed_behavior,quantitative_comparison,pass
A_trajectory_direction,sex=0_AP=0,"N declines; A, Mpro, Mhpro, Ta rise with age",N_decline=10.84pct,direction only,True
A_trajectory_direction,sex=0_AP=1,"N declines; A, Mpro, Mhpro, Ta rise with age",N_decline=11.70pct,direction only,True
A_trajectory_direction,sex=1_AP=0,"N declines; A, Mpro, Mhpro, Ta rise with age",N_decline=10.92pct,direction only,True
A_trajectory_direction,sex=1_AP=1,"N declines; A, Mpro, Mhpro, Ta rise with age",N_decline=12.07pct,direction only,True
B_APOE4_effect,sex=0,APOE4 carriers show higher amyloid plaque,ratio_plus_over_minus=46.14,direction check,True
B_APOE4_effect,sex=1,APOE4 carriers show higher amyloid plaque,ratio_plus_over_minus=45.66,direction check,True
C_neuronal_loss,sex=0_AP=0,moderate monotonic neuronal decline,"N_decline=10.84pct, monotonic=True",0-50pct bound and monotonicity,True
C_neuronal_loss,sex=0_AP=1,moderate monotonic neuronal decline,"N_decline=11.70pct, monotonic=True",0-50pct bound and monotonicity,True
C_neuronal_loss,sex=1_AP=0,moderate monotonic neuronal decline,"N_decline=10.92pct, monotonic=True",0-50pct bound and monotonicity,True
C_neuronal_loss,sex=1_AP=1,moderate monotonic neuronal decline,"N_decline=12.07pct, monotonic=True",0-50pct bound and monotonicity,True
