sample_id,acceptance_status,acceptance_reason,trajectory_checksum,d_is_zero,mu_M1,mu_M2,hn,vn,kpn1,kpn12,mu_n12,a_inf2,mu_n10
0,accepted,,2a70285b36fd9c5f,True,2A,1,2B,2B,2B,2B,1,2A,1
1,accepted,,ff3f57575c90bacd,False,2B,2A,1,2A,2A,1,1,2A,2B
2,accepted,,46b0820fc3310268,False,2B,2A,1,2B,2A,1,1,2B,2B
3,accepted,,b39db14c4f4cf19f,True,2A,1,1,2A,2B,1,2B,2A,1
4,accepted,,510c0b88e899bbfa,True,1,2B,1,2A,2A,1,1,2B,1
5,accepted,,98811b5c44e3a2e7,False,2B,2A,2B,2A,2A,1,2B,2A,1
6,accepted,,0ccf80307b984aa9,True,1,2A,2B,2B,2B,1,2B,1,2B
7,accepted,,6a59e95354f04d2b,True,2A,2B,2B,2B,2A,1,2B,1,2B
8,accepted,,6621c5db8d30fddc,False,2B,1,1,2A,1,1,1,1,2A
9,accepted,,8e3e5054cc41e6a5,True,1,1,1,2A,1,1,2B,2B,1
10,accepted,,9242af5a197b76a0,True,2B,2A,1,2A,1,2B,2B,2B,2A
11,accepted,,6fd10b370d1112e0,False,2B,1,1,2B,1,2B,1,2B,2A
12,accepted,,02fa43b04aeb027d,False,2B,1,2B,2A,2A,1,2B,2A,1
13,accepted,,210eb9055b992f4e,False,2B,1,1,2B,1,2A,2B,2B,1
14,accepted,,c614829de43bddbd,True,1,1,1,2B,2A,2A,1,2A,2B
15,accepted,,5045dfd67ec6d829,True,1,2B,2B,2B,2A,1,2B,1,1
16,accepted,,46b27a8fbd07a1ac,False,2B,2B,2B,2B,2A,2A,1,2A,2A
17,accepted,,bfb8d332298edefa,False,2B,1,1,2B,1,1,1,2B,2A
18,accepted,,38299021f9a84fea,True,1,1,1,2A,2B,2A,1,2A,2A
19,accepted,,be7de5130566e07b,True,1,2B,1,2A,1,1,2B,1,1
20,accepted,,688f97f158ae377e,False,1,1,2B,2A,2A,1,2B,2B,1
21,accepted,,ccc3b37b24cf2d1e,False,1,2A,2B,2A,2B,2A,1,2B,2A
22,accepted,,02f32c16a53e32f8,False,2B,2A,1,2B,1,1,2B,2A,2A
23,accepted,,581ef25a50adc4f5,False,1,2B,1,2B,2B,2B,2B,1,2B
24,accepted,,96abfb0ad547821d,False,2B,2A,1,2A,1,1,1,2B,2A
25,accepted,,ef19df906f9532b6,False,1,1,2B,2B,2A,2A,2B,1,1
26,accepted,,18815cdbbb41f723,False,1,2A,2B,2B,2A,2A,2B,2A,2B
27,accepted,,7cfa90e0676e37da,False,2A,2B,2B,2B,1,2B,2B,1,2B
28,accepted,,af7be2533054f777,True,2A,2B,2B,2A,1,2A,1,1,2B
29,accepted,,536dbed2a11f9907,True,2B,2A,2B,2B,2A,1,2B,1,1
30,accepted,,a12d86df04905c83,False,2B,2B,1,2A,2A,2B,2B,1,2B
31,accepted,,79ef0cfd6ae45513,False,2A,1,1,2A,2A,2A,1,2B,1
32,accepted,,8430b6fe62363353,True,2B,2A,1,2B,2A,2B,1,2A,2B
33,accepted,,1ce8a6972f9c5ed7,False,2A,1,1,2B,2A,1,2B,1,2B
34,accepted,,ffa734cf423c2d9e,True,1,2B,2B,2B,2B,1,2B,1,1
35,accepted,,c7dc1ec529de131a,False,2A,1,2B,2A,1,2A,1,2A,2A
36,accepted,,589ece73e1ece5f6,False,2B,2B,1,2A,2A,1,1,2B,1
37,accepted,,b4ac4ec63ad4ebc7,False,2A,2B,2B,2A,2A,2A,1,1,2A
38,accepted,,59ec4230c59330ff,True,2A,1,2B,2A,1,2B,1,1,2B
39,accepted,,0fbfe30be00abc96,True,2A,2B,1,2B,2B,2B,2B,1,2B
40,accepted,,d0ee608fd12fbbc5,False,2A,1,2B,2A,2B,1,1,2B,2B
