snapshot_h,node,spearman_rho_logd_vs_indegree,p_value
0,M1,-0.4274645411121108,1.8802693019412087e-91
0,M2,-0.7556983124934729,0.0
0,IL1,-0.6357926168756213,1.3631388719574537e-231
0,IL12,-0.5755981974297314,2.000635745079296e-180
0,IL10,-0.888643523897679,0.0
0,IL4,-0.8522131361149385,0.0
0,D,-0.9064237969807006,0.0
24,M1,0.2555963495452328,8.375501853871854e-32
24,M2,-0.6034028099792232,1.0583334607864955e-202
24,IL1,0.3908343475452069,1.8240604026083075e-75
24,IL12,0.517733119379053,2.3591631248158697e-140
24,IL10,-0.7875769206351885,0.0
24,IL4,-0.7722414593906772,0.0
24,D,0.1179914506547899,8.993500743595966e-08
48,M1,0.3496920767447903,8.935526016053184e-60
48,M2,-0.607016915545407,9.238631441825428e-206
48,IL1,0.4411087262724202,6.213015130920513e-98
48,IL12,0.5155898114007044,5.155084294740118e-139
48,IL10,-0.7879414744186533,0.0
48,IL4,-0.75731549927942,0.0
48,D,0.24406386115230616,4.6137292052446534e-29
72,M1,0.37096431955183345,1.3308621606583404e-67
72,M2,-0.6073104388801946,5.193185114111499e-206
72,IL1,0.4558630873154427,2.7760003707620246e-105
72,IL12,0.5075061097089878,4.774439743610884e-134
72,IL10,-0.7880419934297863,0.0
72,IL4,-0.7554719472345928,0.0
72,D,0.30148910801519246,3.73673061661633e-44
120,M1,0.37785194089794183,2.8858186616459844e-70
120,M2,-0.6079426460259183,1.4986656655395482e-206
120,IL1,0.4430874951998649,6.73763979816793e-99
120,IL12,0.49202128756247654,6.724554282745465e-125
120,IL10,-0.7890353319546517,0.0
120,IL4,-0.7570853580206921,0.0
120,D,0.3531821192093172,5.1010880341883446e-61
