sample_id,ordering,kendall_tau,t_peak_IL1,t_peak_IL12,t_peak_IL10
0,IL1<IL12<IL10,1.0,0.5,5.25,120.0
1,IL1<IL12<IL10,1.0,0.0,0.25,120.0
2,IL1<IL12<IL10,1.0,0.0,0.25,120.0
3,IL1<IL12<IL10,1.0,0.25,0.25,0.25
4,IL12<IL1<IL10,0.33333333333333337,6.0,3.25,15.75
5,IL1<IL12<IL10,1.0,0.0,0.75,120.0
6,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,6.5
7,IL1<IL12<IL10,1.0,0.25,120.0,120.0
8,IL10<IL1<IL12,-0.33333333333333337,0.25,0.25,0.0
9,IL1<IL12<IL10,1.0,1.25,2.25,120.0
10,IL1<IL12<IL10,1.0,36.0,39.75,120.0
11,IL12<IL1<IL10,0.33333333333333337,0.25,0.0,2.25
12,IL1<IL12<IL10,1.0,0.25,15.5,120.0
13,IL1<IL12<IL10,1.0,0.25,0.5,63.75
14,IL1<IL12<IL10,1.0,120.0,120.0,120.0
15,IL1<IL12<IL10,1.0,1.25,3.0,12.0
16,IL1<IL12<IL10,1.0,0.25,0.25,120.0
17,IL1<IL12<IL10,1.0,0.25,0.75,4.25
18,IL12<IL1<IL10,0.33333333333333337,1.5,0.0,115.0
19,IL10<IL1<IL12,-0.33333333333333337,2.0,4.0,1.0
20,IL1<IL12<IL10,1.0,11.5,120.0,120.0
21,IL12<IL1<IL10,0.33333333333333337,0.25,0.0,120.0
22,IL12<IL1<IL10,0.33333333333333337,12.5,8.25,120.0
23,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,85.0
24,IL12<IL1<IL10,0.33333333333333337,0.75,0.25,3.0
25,IL1<IL12<IL10,1.0,120.0,120.0,120.0
26,IL1<IL12<IL10,1.0,2.25,3.25,4.0
27,IL1<IL10<IL12,0.33333333333333337,0.0,0.25,0.0
28,IL12<IL1<IL10,0.33333333333333337,1.25,0.25,120.0
29,IL1<IL10<IL12,0.33333333333333337,0.25,120.0,21.25
30,IL10<IL1<IL12,-0.33333333333333337,42.0,120.0,0.0
31,IL12<IL1<IL10,0.33333333333333337,0.25,0.0,120.0
32,IL1<IL12<IL10,1.0,0.0,0.25,1.25
33,IL1<IL12<IL10,1.0,1.75,3.75,120.0
34,IL1<IL10<IL12,0.33333333333333337,8.0,12.0,10.25
35,IL1<IL12<IL10,1.0,0.25,0.25,120.0
36,IL1<IL12<IL10,1.0,0.0,0.25,120.0
37,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,6.75
38,IL12<IL1<IL10,0.33333333333333337,0.5,0.25,24.0
39,IL10<IL1<IL12,-0.33333333333333337,0.25,0.25,0.0
40,IL1<IL12<IL10,1.0,0.25,0.25,0.5
41,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,0.0
42,IL1<IL12<IL10,1.0,0.0,0.0,1.75
43,IL1<IL12<IL10,1.0,0.25,0.25,120.0
44,IL1<IL12<IL10,1.0,0.0,0.25,0.5
45,IL12<IL1<IL10,0.33333333333333337,12.5,0.25,120.0
46,IL1<IL12<IL10,1.0,0.25,2.0,120.0
47,IL10<IL12<IL1,-1.0,0.5,0.25,0.0
48,IL1<IL12<IL10,1.0,0.0,120.0,120.0
49,IL10<IL12<IL1,-1.0,1.5,1.25,0.0
50,IL1<IL12<IL10,1.0,2.0,3.25,120.0
51,IL12<IL10<IL1,-0.33333333333333337,4.0,3.0,3.25
52,IL1<IL12<IL10,1.0,0.0,0.25,120.0
53,IL12<IL1<IL10,0.33333333333333337,4.5,2.75,112.75
54,IL1<IL12<IL10,1.0,0.25,0.25,11.0
55,IL1<IL12<IL10,1.0,0.25,0.25,120.0
56,IL1<IL12<IL10,1.0,0.5,0.5,120.0
57,IL12<IL10<IL1,-0.33333333333333337,3.0,0.0,0.0
58,IL1<IL12<IL10,1.0,0.25,0.25,71.75
59,IL1<IL12<IL10,1.0,0.25,1.0,120.0
60,IL1<IL10<IL12,0.33333333333333337,1.75,4.25,2.75
61,IL1<IL12<IL10,1.0,0.25,0.25,120.0
62,IL1<IL12<IL10,1.0,0.0,1.75,91.0
63,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,0.0
64,IL1<IL10<IL12,0.33333333333333337,0.0,0.25,0.0
65,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,4.25
66,IL1<IL12<IL10,1.0,0.5,4.25,8.0
67,IL1<IL12<IL10,1.0,0.0,0.0,0.0
68,IL1<IL12<IL10,1.0,0.5,0.5,1.25
69,IL1<IL12<IL10,1.0,0.0,0.0,120.0
70,IL1<IL12<IL10,1.0,0.5,3.5,120.0
71,IL1<IL12<IL10,1.0,0.0,0.0,30.0
72,IL1<IL12<IL10,1.0,0.25,0.25,53.5
73,IL1<IL12<IL10,1.0,2.5,2.75,120.0
74,IL1<IL12<IL10,1.0,0.0,2.75,120.0
75,IL12<IL10<IL1,-0.33333333333333337,120.0,1.5,3.75
76,IL1<IL12<IL10,1.0,0.0,0.5,120.0
77,IL1<IL10<IL12,0.33333333333333337,1.5,2.5,1.75
78,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,0.0
79,IL12<IL1<IL10,0.33333333333333337,1.25,0.75,120.0
80,IL1<IL10<IL12,0.33333333333333337,0.0,0.25,0.0
81,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,7.5
82,IL1<IL12<IL10,1.0,0.0,11.0,120.0
83,IL12<IL1<IL10,0.33333333333333337,0.5,0.25,120.0
84,IL1<IL12<IL10,1.0,0.0,0.25,18.75
85,IL12<IL10<IL1,-0.33333333333333337,120.0,45.5,116.75
86,IL1<IL12<IL10,1.0,0.75,23.5,35.5
87,IL1<IL12<IL10,1.0,1.75,2.25,4.25
88,IL1<IL12<IL10,1.0,0.25,0.5,4.75
89,IL12<IL1<IL10,0.33333333333333337,120.0,19.0,120.0
90,IL1<IL12<IL10,1.0,7.0,30.5,120.0
91,IL1<IL12<IL10,1.0,6.5,7.75,48.25
92,IL1<IL12<IL10,1.0,0.25,0.5,120.0
93,IL1<IL10<IL12,0.33333333333333337,0.0,0.25,0.0
94,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,0.0
95,IL12<IL1<IL10,0.33333333333333337,0.5,0.25,120.0
96,IL1<IL12<IL10,1.0,0.5,1.5,1.5
97,IL10<IL1<IL12,-0.33333333333333337,0.25,0.25,0.0
98,IL10<IL1<IL12,-0.33333333333333337,12.5,14.25,0.0
99,IL1<IL12<IL10,1.0,0.25,0.75,27.0
100,IL1<IL12<IL10,1.0,0.25,0.25,120.0
101,IL12<IL1<IL10,0.33333333333333337,0.75,0.0,16.25
102,IL1<IL12<IL10,1.0,120.0,120.0,120.0
103,IL1<IL12<IL10,1.0,0.0,0.25,120.0
104,IL1<IL12<IL10,1.0,0.5,0.5,120.0
105,IL1<IL12<IL10,1.0,0.0,0.25,91.25
106,IL12<IL10<IL1,-0.33333333333333337,13.0,0.25,2.0
107,IL1<IL12<IL10,1.0,0.0,0.75,120.0
108,IL1<IL10<IL12,0.33333333333333337,0.0,0.25,0.0
109,IL1<IL12<IL10,1.0,0.25,0.25,120.0
110,IL1<IL12<IL10,1.0,0.25,0.25,120.0
111,IL1<IL12<IL10,1.0,0.25,3.0,29.25
112,IL1<IL12<IL10,1.0,0.25,0.25,9.25
113,IL1<IL12<IL10,1.0,0.0,1.0,120.0
114,IL10<IL1<IL12,-0.33333333333333337,19.0,20.0,0.0
115,IL1<IL12<IL10,1.0,0.25,0.5,18.0
116,IL1<IL12<IL10,1.0,0.25,0.25,120.0
117,IL1<IL10<IL12,0.33333333333333337,0.0,0.25,0.0
118,IL12<IL10<IL1,-0.33333333333333337,120.0,5.75,105.75
119,IL1<IL10<IL12,0.33333333333333337,0.0,0.25,0.0
120,IL12<IL1<IL10,0.33333333333333337,3.25,1.75,120.0
121,IL1<IL12<IL10,1.0,0.5,0.5,96.25
122,IL1<IL12<IL10,1.0,120.0,120.0,120.0
123,IL10<IL1<IL12,-0.33333333333333337,1.25,2.25,0.25
124,IL10<IL1<IL12,-0.33333333333333337,0.25,0.5,0.0
125,IL1<IL12<IL10,1.0,0.25,0.25,120.0
126,IL12<IL1<IL10,0.33333333333333337,0.75,0.0,120.0
127,IL10<IL1<IL12,-0.33333333333333337,0.25,0.25,0.0
128,IL1<IL12<IL10,1.0,0.5,0.75,120.0
129,IL1<IL12<IL10,1.0,120.0,120.0,120.0
130,IL1<IL12<IL10,1.0,0.25,0.25,21.75
131,IL10<IL12<IL1,-1.0,0.5,0.25,0.0
132,IL10<IL1<IL12,-0.33333333333333337,0.25,0.25,0.0
133,IL1<IL12<IL10,1.0,6.75,8.25,120.0
134,IL1<IL12<IL10,1.0,6.0,6.75,120.0
135,IL12<IL1<IL10,0.33333333333333337,1.75,1.25,4.5
136,IL1<IL12<IL10,1.0,1.0,1.5,10.25
137,IL10<IL12<IL1,-1.0,8.75,4.0,0.0
138,IL1<IL12<IL10,1.0,0.0,0.75,120.0
139,IL1<IL12<IL10,1.0,0.25,0.25,3.5
140,IL1<IL12<IL10,1.0,0.0,0.5,120.0
141,IL1<IL12<IL10,1.0,0.25,0.25,3.0
142,IL1<IL10<IL12,0.33333333333333337,4.5,120.0,6.25
143,IL12<IL1<IL10,0.33333333333333337,1.0,0.25,120.0
144,IL1<IL12<IL10,1.0,0.25,0.5,120.0
145,IL1<IL12<IL10,1.0,0.0,0.0,68.75
146,IL1<IL10<IL12,0.33333333333333337,0.0,1.75,0.0
147,IL1<IL12<IL10,1.0,0.25,0.25,120.0
148,IL1<IL12<IL10,1.0,0.0,1.0,49.5
149,IL1<IL12<IL10,1.0,0.25,0.25,120.0
150,IL1<IL12<IL10,1.0,1.5,3.25,120.0
151,IL1<IL12<IL10,1.0,0.25,0.25,0.25
152,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,1.5
153,IL10<IL12<IL1,-1.0,32.5,20.0,0.0
154,IL1<IL12<IL10,1.0,4.5,6.25,120.0
155,IL1<IL12<IL10,1.0,0.0,0.25,4.75
156,IL12<IL10<IL1,-0.33333333333333337,0.25,0.0,0.0
