vaughan_symbol,cluster,range_low,range_high,average,reported,units_stated,source_location,cross_table_consistency_check
kpn1,1,0.07,29.9,15.51,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 1 (1v2A) & Table 2 (1v2B),confirmed identical across all tables reporting this cluster+parameter
kpn1,2A,0.05,0.93,0.25,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 1 (1v2A) & Table 2 (1v2B),confirmed identical across all tables reporting this cluster+parameter
kpn1,2B,0.11,2.86,0.91,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 1 (1v2A) & Table 2 (1v2B),confirmed identical across all tables reporting this cluster+parameter
kpn12,1,8.1,49.88,32.31,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),"Suppl. Table 1 (1v2A), Table 2 (1v2B) & Table 3 (2Av2B)",confirmed identical across all tables reporting this cluster+parameter
kpn12,2A,0.05,1.25,0.42,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),"Suppl. Table 1 (1v2A), Table 2 (1v2B) & Table 3 (2Av2B)",confirmed identical across all tables reporting this cluster+parameter
kpn12,2B,0.59,8.06,1.83,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),"Suppl. Table 1 (1v2A), Table 2 (1v2B) & Table 3 (2Av2B)",confirmed identical across all tables reporting this cluster+parameter
mu_M1,1,0.05,0.46,0.14,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 1 (1v2A) & Table 2 (1v2B),confirmed identical across all tables reporting this cluster+parameter
mu_M1,2A,2.41,22.92,6.88,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 1 (1v2A) & Table 2 (1v2B),confirmed identical across all tables reporting this cluster+parameter
mu_M1,2B,4.73,37.32,10.77,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 1 (1v2A) & Table 2 (1v2B),confirmed identical across all tables reporting this cluster+parameter
mu_M2,1,2.87,11.89,5.43,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 2 (1v2B) & Table 3 (2Av2B),confirmed identical across all tables reporting this cluster+parameter
mu_M2,2A,1.23,6.39,3.45,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 2 (1v2B) & Table 3 (2Av2B),confirmed identical across all tables reporting this cluster+parameter
mu_M2,2B,7.33,32.05,17.7,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 2 (1v2B) & Table 3 (2Av2B),confirmed identical across all tables reporting this cluster+parameter
mu_n10,1,0.3,0.72,0.5,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 1 (1v2A) & Table 2 (1v2B),confirmed identical across all tables reporting this cluster+parameter
mu_n10,2A,0.82,1.7,1.29,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 1 (1v2A) & Table 2 (1v2B),confirmed identical across all tables reporting this cluster+parameter
mu_n10,2B,1.18,1.4,1.3,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 1 (1v2A) & Table 2 (1v2B),confirmed identical across all tables reporting this cluster+parameter
mu_n12,1,0.06,0.63,0.26,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 2 (1v2B) only,n/a
mu_n12,2A,,,,no (not flagged significant for this cluster),none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 2 (1v2B) only,n/a
mu_n12,2B,0.05,0.076,0.052,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 2 (1v2B) only,n/a
a_inf2,1,25.0,38.51,26.42,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 1 (1v2A) & Table 3 (2Av2B),confirmed identical across all tables reporting this cluster+parameter
a_inf2,2A,1.31,16.21,8.78,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 1 (1v2A) & Table 3 (2Av2B),confirmed identical across all tables reporting this cluster+parameter
a_inf2,2B,25.0,44.3,27.97,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 1 (1v2A) & Table 3 (2Av2B),confirmed identical across all tables reporting this cluster+parameter
hn,1,1.03,6.0,5.14,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 2 (1v2B) only,n/a
hn,2A,,,,no (not flagged significant for this cluster),none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 2 (1v2B) only,n/a
hn,2B,1.0,2.23,1.27,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 2 (1v2B) only,n/a
vn,1,,,,no (not flagged significant for this cluster),none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 3 (2Av2B) only,n/a
vn,2A,0.2,1.21,0.85,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 3 (2Av2B) only,n/a
vn,2B,0.87,25.85,7.17,yes,none stated in supplement (consistent with paper's arbitrary-units disclaimer),Suppl. Table 3 (2Av2B) only,n/a
