name,tier,nominal_fixture,domain,distribution,primary_range,stress_range,note
s_mr,definition_only,1.0,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
mu_mr,definition_only,0.05,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
kn1,definition_only,1.0,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
kn12,definition_only,1.0,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
xn,definition_only,2,"positive integer/real, cooperativity exponent",discrete-uniform,1-4,1-6,EXPLORATORY MATHEMATICAL RANGE (not asserted biologically plausible)
bn,definition_only,1.0,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
a_inf1,definition_only,5.0,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
kn4,definition_only,1.0,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
kn10,definition_only,1.0,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
zn,definition_only,2,"positive integer/real, cooperativity exponent",discrete-uniform,1-4,1-6,EXPLORATORY MATHEMATICAL RANGE (not asserted biologically plausible)
yn,definition_only,1.0,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
tau_n4,definition_only,1.0,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
tau_n10,definition_only,1.0,positive real (rate/scale/coupling),"log-uniform multiplicative: theta = theta0 * 10^U(-1,1)",0.1x - 10x nominal fixture,0.01x - 100x nominal fixture,
gn,definition_only,2,"positive integer/real, cooperativity exponent",discrete-uniform,1-4,1-6,EXPLORATORY MATHEMATICAL RANGE (not asserted biologically plausible)
