demographic,state_variable,max_abs_error,max_rel_error,nrmse,status
sex=0_AP=0,ABi,1.7295353991748745e-19,2.406656901710496e-12,1.565284293045216e-11,OK
sex=0_AP=0,ABmo,7.523240758394289e-19,2.3034448281588623e-12,2.929774755219816e-12,OK
sex=0_AP=0,ABoo,7.046338048032966e-21,4.607266679227224e-12,3.5749900039768557e-12,OK
sex=0_AP=0,ABpo,8.275019219106114e-22,5.03095273716324e-06,5.344788185677769e-10,OK
sex=0_AP=0,G,1.5280474368467578e-16,2.4063058296894946e-12,1.0794563644794368e-11,OK
sex=0_AP=0,tau,1.8565903412630196e-18,2.407078548255903e-12,1.0806932772855693e-11,OK
sex=0_AP=0,Fi,4.2193966058447096e-22,7.242287151783588e-12,2.5623270237664644e-11,OK
sex=0_AP=0,Fo,3.452785806445382e-24,1.0113995570360927e-09,3.18891333115129e-11,OK
sex=0_AP=0,N,1.0449419107771973e-12,2.4067703909267145e-12,1.565264684680071e-11,OK
sex=0_AP=0,A,2.1186686031873098e-14,4.2548766350157303e-08,3.3907824584558716e-11,OK
sex=0_AP=0,M_NA,4.529134012276614e-12,1.9757080854230754e-10,3.5380692967702026e-11,OK
sex=0_AP=0,M_pro,4.585259255618368e-12,5.313375406809114e-09,3.624018587031879e-11,OK
sex=0_AP=0,M_anti,2.7542247996170666e-13,3.1121250862410336e-10,5.5524597663004994e-11,OK
sex=0_AP=0,Mh_pro,6.066167533569367e-13,3.898767274531536e-08,2.79455650566117e-11,OK
sex=0_AP=0,Mh_anti,1.2265463980847685e-14,5.3906335258716535e-09,3.632326816553536e-11,OK
sex=0_AP=0,Tb,5.059647823181908e-23,2.904145970000174e-10,5.4578247717817917e-11,OK
sex=0_AP=0,I10,3.790381966083496e-20,2.903731287097857e-10,5.457966848534133e-11,OK
sex=0_AP=0,Ta,9.22055320756019e-21,5.313516220652183e-09,3.389999511019553e-11,OK
sex=0_AP=0,P,1.0035495812197466e-18,5.313518068876806e-09,3.3900853570439624e-11,OK
sex=0_AP=1,ABi,1.5347178213063854e-18,1.678128371310518e-11,1.0521647426265231e-10,OK
sex=0_AP=1,ABmo,5.3523482541407204e-18,1.4980243880060467e-11,2.2180528200922538e-11,OK
sex=0_AP=1,ABoo,1.515882918758553e-19,2.9959992566909856e-11,2.6408906715724126e-11,OK
sex=0_AP=1,ABpo,1.0981058273860163e-20,1.6881533681121872e-06,2.4210745231380193e-09,OK
sex=0_AP=1,G,1.058520133524754e-15,1.6781581399901466e-11,8.26978602419203e-11,OK
sex=0_AP=1,tau,1.2861030633754076e-17,1.6781294624404352e-11,8.279844772061205e-11,OK
sex=0_AP=1,Fi,2.862264639283685e-21,5.034075182685364e-11,2.1223050599580293e-10,OK
sex=0_AP=1,Fo,2.2839610532103507e-23,7.056629000831323e-09,2.1807455507505938e-10,OK
sex=0_AP=1,N,7.257916490033267e-12,1.6781006789444244e-11,1.0521653811797139e-10,OK
sex=0_AP=1,A,1.4324052875899426e-13,9.248255454393621e-07,2.3126304868863705e-10,OK
