source,run_id,age,module_members,module_size,intra_module_edges,influence_share,intra_module_positive_fraction,contains_top_hub,top_hub,matches_hypothesized_inflammatory_module,hypothesized_module_subset_of_this_module
default,default,30.0,I10;IL4;M_NA;M_anti,4,4,0.11023063905445327,0.5,False,P,False,False
default,default,30.0,ABm;N;Ta,3,2,0.36984432773070486,0.5,False,P,False,False
default,default,30.0,A;P,2,1,0.4862396708906623,1.0,True,P,False,False
default,default,30.0,ABi,1,0,0.0,,False,P,False,False
default,default,30.0,ABo,1,0,0.0,,False,P,False,False
default,default,30.0,ABp,1,0,0.0,,False,P,False,False
default,default,30.0,G,1,0,0.0,,False,P,False,False
default,default,30.0,tau,1,0,0.0,,False,P,False,False
default,default,30.0,Fi,1,0,0.0,,False,P,False,False
default,default,30.0,Fo,1,0,0.0,,False,P,False,False
default,default,30.0,M_pro,1,0,0.0,,False,P,False,False
default,default,30.0,Mh_pro,1,0,0.0,,False,P,False,False
default,default,30.0,Mh_anti,1,0,0.0,,False,P,False,False
default,default,30.0,Tb,1,0,0.0,,False,P,False,False
default,default,30.0,IL1,1,0,0.0,,False,P,False,False
default,default,30.0,IL12,1,0,0.0,,False,P,False,False
default,default,31.0,ABi;I10;IL1;IL12;IL4;M_NA;M_anti;M_pro;Mh_pro;Ta;Tb,11,36,0.20325879071993047,0.6111111111111112,False,P,False,False
default,default,31.0,ABm;ABo;ABp;N,4,3,0.2573614055750212,1.0,False,P,False,False
default,default,31.0,Fi;Fo;tau,3,3,0.02467096681841591,0.6666666666666666,False,P,False,False
default,default,31.0,A;Mh_anti;P,3,2,0.35472993628418337,1.0,True,P,False,False
default,default,31.0,G,1,0,0.0,,False,P,False,False
default,default,32.0,I10;IL1;IL12;IL4;M_NA;M_anti;M_pro;Mh_pro;Ta;Tb,10,36,0.2437137326091562,0.6388888888888888,True,Mh_pro,False,False
default,default,32.0,ABi;ABm;ABo;ABp;N,5,4,0.2334255614342683,1.0,False,Mh_pro,False,False
default,default,32.0,Fi;Fo;tau,3,3,0.05973600588369974,0.6666666666666666,False,Mh_pro,False,False
default,default,32.0,A;Mh_anti;P,3,2,0.2723507194234861,1.0,False,Mh_pro,False,False
default,default,32.0,G,1,0,0.0,,False,Mh_pro,False,False
default,default,33.0,IL1;IL12;IL4;M_NA;M_anti;M_pro;Tb,7,22,0.05686529286308998,0.6818181818181818,False,Mh_pro,False,False
default,default,33.0,ABi;ABm;ABo;ABp;N,5,4,0.22305602955445358,1.0,False,Mh_pro,False,False
default,default,33.0,Fi;Fo;tau,3,3,0.08647668528221043,0.6666666666666666,False,Mh_pro,False,False
default,default,33.0,I10;Mh_pro;Ta,3,3,0.16284298344882142,0.6666666666666666,True,Mh_pro,False,False
default,default,33.0,A;Mh_anti;P,3,2,0.21431756746522693,1.0,False,Mh_pro,False,False
default,default,33.0,G,1,0,0.0,,False,Mh_pro,False,False
default,default,34.0,IL1;IL12;IL4;M_NA;M_anti;M_pro;Tb,7,23,0.0854045811992637,0.6956521739130435,False,Mh_pro,False,False
default,default,34.0,A;I10;Mh_anti;Mh_pro;P;Ta,6,13,0.4426869259281408,0.8461538461538461,True,Mh_pro,False,False
default,default,34.0,ABi;ABm;ABo;ABp;N,5,4,0.21552808162773082,1.0,False,Mh_pro,False,False
default,default,34.0,Fi;Fo;tau,3,3,0.10445605154939133,0.6666666666666666,False,Mh_pro,False,False
default,default,34.0,G,1,0,0.0,,False,Mh_pro,False,False
default,default,35.0,IL1;IL12;IL4;M_NA;M_anti;M_pro;Tb,7,23,0.11515985651430709,0.6956521739130435,False,Mh_pro,False,False
default,default,35.0,A;I10;Mh_anti;Mh_pro;P;Ta,6,13,0.37211660246206096,0.7692307692307693,True,Mh_pro,False,False
default,default,35.0,ABi;Fi;Fo;tau,4,4,0.11693910350154328,0.5,False,Mh_pro,False,False
default,default,35.0,ABm;ABo;ABp;N,4,3,0.20806783135759988,1.0,False,Mh_pro,False,False
default,default,35.0,G,1,0,0.0,,False,Mh_pro,False,False
default,default,36.0,I10;IL1;IL12;M_pro;Mh_pro;Ta,6,14,0.2298972102963639,0.7142857142857143,True,Mh_pro,False,False
default,default,36.0,ABi;Fi;Fo;tau,4,4,0.1260205758656843,0.5,False,Mh_pro,False,False
default,default,36.0,ABm;ABo;ABp;N,4,3,0.20073023832699907,1.0,False,Mh_pro,False,False
default,default,36.0,IL4;M_NA;M_anti;Tb,4,7,0.05390452666497181,0.8571428571428571,False,Mh_pro,False,False
default,default,36.0,A;Mh_anti;P,3,2,0.11861207094199114,1.0,False,Mh_pro,False,False
