age,filename,n_nodes,n_edges,density,top_hub,top_hub_weighted_in_degree
30.0,graph_age030.0.graphml,22,10,0.021645021645021644,P,4.500453570421853
31.0,graph_age031.0.graphml,22,80,0.17316017316017315,P,4.150315188322631
32.0,graph_age032.0.graphml,22,82,0.1774891774891775,Mh_pro,4.789528465569856
33.0,graph_age033.0.graphml,22,84,0.18181818181818182,Mh_pro,5.692971828030226
34.0,graph_age034.0.graphml,22,85,0.18398268398268397,Mh_pro,5.988259083233577
35.0,graph_age035.0.graphml,22,85,0.18398268398268397,Mh_pro,5.902292539016317
36.0,graph_age036.0.graphml,22,85,0.18398268398268397,Mh_pro,5.623376636547078
37.0,graph_age037.0.graphml,22,85,0.18398268398268397,M_pro,5.739373148221674
38.0,graph_age038.0.graphml,22,85,0.18398268398268397,M_pro,6.440828446339553
39.0,graph_age039.0.graphml,22,86,0.18614718614718614,M_pro,7.015291820850186
40.0,graph_age040.0.graphml,22,86,0.18614718614718614,M_pro,7.485086806682221
41.0,graph_age041.0.graphml,22,86,0.18614718614718614,M_pro,7.862877636956884
42.0,graph_age042.0.graphml,22,86,0.18614718614718614,M_pro,8.158245744245827
43.0,graph_age043.0.graphml,22,86,0.18614718614718614,M_pro,8.380790442804908
44.0,graph_age044.0.graphml,22,86,0.18614718614718614,M_pro,8.540366975438587
45.0,graph_age045.0.graphml,22,86,0.18614718614718614,M_pro,8.646476220670065
46.0,graph_age046.0.graphml,22,86,0.18614718614718614,M_pro,8.707712177444085
47.0,graph_age047.0.graphml,22,86,0.18614718614718614,M_pro,8.73150961961938
48.0,graph_age048.0.graphml,22,86,0.18614718614718614,M_pro,8.724142835786465
49.0,graph_age049.0.graphml,22,86,0.18614718614718614,M_pro,8.69082544702686
50.0,graph_age050.0.graphml,22,86,0.18614718614718614,M_pro,8.635864585208243
51.0,graph_age051.0.graphml,22,86,0.18614718614718614,M_pro,8.562823909701843
52.0,graph_age052.0.graphml,22,86,0.18614718614718614,M_pro,8.474670599924936
53.0,graph_age053.0.graphml,22,86,0.18614718614718614,M_pro,8.373892320009466
54.0,graph_age054.0.graphml,22,86,0.18614718614718614,M_pro,8.262590494855747
55.0,graph_age055.0.graphml,22,86,0.18614718614718614,Fo,8.240586781945982
56.0,graph_age056.0.graphml,22,86,0.18614718614718614,Fo,8.3458738398431
57.0,graph_age057.0.graphml,22,86,0.18614718614718614,Fo,8.43299321896758
58.0,graph_age058.0.graphml,22,86,0.18614718614718614,Fo,8.504438000874298
59.0,graph_age059.0.graphml,22,86,0.18614718614718614,Fo,8.562417284364225
60.0,graph_age060.0.graphml,22,86,0.18614718614718614,Fo,8.608870807691797
61.0,graph_age061.0.graphml,22,86,0.18614718614718614,Fo,8.645489405321035
62.0,graph_age062.0.graphml,22,86,0.18614718614718614,Fo,8.673737870275462
63.0,graph_age063.0.graphml,22,86,0.18614718614718614,Fo,8.694878190371172
64.0,graph_age064.0.graphml,22,86,0.18614718614718614,Fo,8.709992406988508
65.0,graph_age065.0.graphml,22,86,0.18614718614718614,P,8.969871461236371
66.0,graph_age066.0.graphml,22,86,0.18614718614718614,P,9.227741776691555
67.0,graph_age067.0.graphml,22,86,0.18614718614718614,P,9.476671185707485
68.0,graph_age068.0.graphml,22,86,0.18614718614718614,P,9.716443776438481
69.0,graph_age069.0.graphml,22,86,0.18614718614718614,P,9.946923399406632
70.0,graph_age070.0.graphml,22,86,0.18614718614718614,P,10.16804431314267
71.0,graph_age071.0.graphml,22,86,0.18614718614718614,P,10.379802361215637
72.0,graph_age072.0.graphml,22,86,0.18614718614718614,P,10.582246946548189
73.0,graph_age073.0.graphml,22,86,0.18614718614718614,P,10.775472753884277
74.0,graph_age074.0.graphml,22,87,0.18831168831168832,P,10.959613504421212
75.0,graph_age075.0.graphml,22,87,0.18831168831168832,P,11.134835972828684
76.0,graph_age076.0.graphml,22,87,0.18831168831168832,P,11.30133359832631
77.0,graph_age077.0.graphml,22,87,0.18831168831168832,P,11.4593217378354
78.0,graph_age078.0.graphml,22,87,0.18831168831168832,P,11.609033187986661
79.0,graph_age079.0.graphml,22,87,0.18831168831168832,P,11.750714196707749
80.0,graph_age080.0.graphml,22,87,0.18831168831168832,P,11.884621054674255
