source,run_id,age,cluster
default,default,30.0,1
default,default,31.0,1
default,default,32.0,1
default,default,33.0,1
default,default,34.0,1
default,default,35.0,1
default,default,36.0,1
default,default,37.0,1
default,default,38.0,1
default,default,39.0,1
default,default,40.0,1
default,default,41.0,1
default,default,42.0,1
default,default,43.0,1
default,default,44.0,1
default,default,45.0,1
default,default,46.0,1
default,default,47.0,1
default,default,48.0,1
default,default,49.0,1
default,default,50.0,1
default,default,51.0,1
default,default,52.0,1
default,default,53.0,1
default,default,54.0,1
default,default,55.0,1
default,default,56.0,1
default,default,57.0,1
default,default,58.0,1
default,default,59.0,1
default,default,60.0,1
default,default,61.0,1
default,default,62.0,1
default,default,63.0,1
default,default,64.0,1
default,default,65.0,1
default,default,66.0,1
default,default,67.0,1
default,default,68.0,1
default,default,69.0,1
default,default,70.0,1
default,default,71.0,1
default,default,72.0,1
default,default,73.0,1
default,default,74.0,1
default,default,75.0,1
default,default,76.0,1
default,default,77.0,1
default,default,78.0,1
default,default,79.0,1
default,default,80.0,1
batch,run_0000,30.0,1
batch,run_0000,31.0,1
batch,run_0000,32.0,1
batch,run_0000,33.0,1
batch,run_0000,34.0,1
batch,run_0000,35.0,1
batch,run_0000,36.0,1
batch,run_0000,37.0,1
batch,run_0000,38.0,1
batch,run_0000,39.0,1
batch,run_0000,40.0,1
batch,run_0000,41.0,1
batch,run_0000,42.0,1
batch,run_0000,43.0,1
batch,run_0000,44.0,1
batch,run_0000,45.0,1
batch,run_0000,46.0,1
batch,run_0000,47.0,1
batch,run_0000,48.0,1
batch,run_0000,49.0,1
batch,run_0000,50.0,1
batch,run_0000,51.0,1
batch,run_0000,52.0,1
batch,run_0000,53.0,0
batch,run_0000,54.0,0
batch,run_0000,55.0,0
batch,run_0000,56.0,0
batch,run_0000,57.0,0
batch,run_0000,58.0,0
batch,run_0000,59.0,0
batch,run_0000,60.0,0
batch,run_0000,61.0,0
batch,run_0000,62.0,0
batch,run_0000,63.0,0
batch,run_0000,64.0,0
batch,run_0000,65.0,0
batch,run_0000,66.0,0
batch,run_0000,67.0,0
batch,run_0000,68.0,0
batch,run_0000,69.0,0
batch,run_0000,70.0,0
batch,run_0000,71.0,0
batch,run_0000,72.0,0
batch,run_0000,73.0,0
batch,run_0000,74.0,0
batch,run_0000,75.0,0
batch,run_0000,76.0,0
batch,run_0000,77.0,0
batch,run_0000,78.0,0
batch,run_0000,79.0,0
batch,run_0000,80.0,0
batch,run_0001,30.0,1
batch,run_0001,31.0,1
batch,run_0001,32.0,1
batch,run_0001,33.0,1
batch,run_0001,34.0,1
batch,run_0001,35.0,1
batch,run_0001,36.0,1
batch,run_0001,37.0,1
batch,run_0001,38.0,1
batch,run_0001,39.0,1
batch,run_0001,40.0,1
batch,run_0001,41.0,1
batch,run_0001,42.0,1
batch,run_0001,43.0,1
batch,run_0001,44.0,1
batch,run_0001,45.0,1
batch,run_0001,46.0,1
batch,run_0001,47.0,1
batch,run_0001,48.0,1
batch,run_0001,49.0,1
batch,run_0001,50.0,1
batch,run_0001,51.0,1
batch,run_0001,52.0,1
batch,run_0001,53.0,0
batch,run_0001,54.0,0
batch,run_0001,55.0,0
batch,run_0001,56.0,0
batch,run_0001,57.0,0
batch,run_0001,58.0,0
batch,run_0001,59.0,0
batch,run_0001,60.0,0
batch,run_0001,61.0,0
batch,run_0001,62.0,0
batch,run_0001,63.0,0
batch,run_0001,64.0,0
batch,run_0001,65.0,0
batch,run_0001,66.0,0
batch,run_0001,67.0,0
batch,run_0001,68.0,0
