scenario,AP,age,n_edges,top_hub,top_hub_weighted_in_degree
baseline,0.0,30.0,10,P,4.500453570421853
baseline,0.0,31.0,80,P,4.150315188322631
baseline,0.0,32.0,82,Mh_pro,4.789528465569856
baseline,0.0,33.0,84,Mh_pro,5.692971828030226
baseline,0.0,34.0,85,Mh_pro,5.988259083233577
baseline,0.0,35.0,85,Mh_pro,5.902292539016317
baseline,0.0,36.0,85,Mh_pro,5.623376636547078
baseline,0.0,37.0,85,M_pro,5.739373148221674
baseline,0.0,38.0,85,M_pro,6.440828446339553
baseline,0.0,39.0,86,M_pro,7.015291820850186
baseline,0.0,40.0,86,M_pro,7.485086806682221
baseline,0.0,41.0,86,M_pro,7.862877636956884
baseline,0.0,42.0,86,M_pro,8.158245744245827
baseline,0.0,43.0,86,M_pro,8.380790442804908
baseline,0.0,44.0,86,M_pro,8.540366975438587
baseline,0.0,45.0,86,M_pro,8.646476220670065
baseline,0.0,46.0,86,M_pro,8.707712177444085
baseline,0.0,47.0,86,M_pro,8.73150961961938
baseline,0.0,48.0,86,M_pro,8.724142835786465
baseline,0.0,49.0,86,M_pro,8.69082544702686
baseline,0.0,50.0,86,M_pro,8.635864585208243
baseline,0.0,51.0,86,M_pro,8.562823909701843
baseline,0.0,52.0,86,M_pro,8.474670599924936
baseline,0.0,53.0,86,M_pro,8.373892320009466
baseline,0.0,54.0,86,M_pro,8.262590494855747
baseline,0.0,55.0,86,Fo,8.240586781945982
baseline,0.0,56.0,86,Fo,8.3458738398431
baseline,0.0,57.0,86,Fo,8.43299321896758
baseline,0.0,58.0,86,Fo,8.504438000874298
baseline,0.0,59.0,86,Fo,8.562417284364225
baseline,0.0,60.0,86,Fo,8.608870807691797
baseline,0.0,61.0,86,Fo,8.645489405321035
baseline,0.0,62.0,86,Fo,8.673737870275462
baseline,0.0,63.0,86,Fo,8.694878190371172
baseline,0.0,64.0,86,Fo,8.709992406988508
baseline,0.0,65.0,86,P,8.969871461236371
baseline,0.0,66.0,86,P,9.227741776691555
baseline,0.0,67.0,86,P,9.476671185707485
baseline,0.0,68.0,86,P,9.716443776438481
baseline,0.0,69.0,86,P,9.946923399406632
baseline,0.0,70.0,86,P,10.16804431314267
baseline,0.0,71.0,86,P,10.379802361215637
baseline,0.0,72.0,86,P,10.582246946548189
baseline,0.0,73.0,86,P,10.775472753884277
baseline,0.0,74.0,87,P,10.959613504421212
baseline,0.0,75.0,87,P,11.134835972828684
baseline,0.0,76.0,87,P,11.30133359832631
baseline,0.0,77.0,87,P,11.4593217378354
baseline,0.0,78.0,87,P,11.609033187986661
baseline,0.0,79.0,87,P,11.750714196707749
baseline,0.0,80.0,87,P,11.884621054674255
baseline,1.0,30.0,10,ABm,3.4964480906992215
baseline,1.0,31.0,80,ABm,3.4955530137889212
baseline,1.0,32.0,82,Mh_pro,4.4577375568895565
baseline,1.0,33.0,84,Mh_pro,5.310261329840548
baseline,1.0,34.0,85,Mh_pro,5.619322510753118
baseline,1.0,35.0,85,Mh_pro,5.611524859641797
baseline,1.0,36.0,85,Mh_pro,5.47314649551239
baseline,1.0,37.0,85,M_pro,6.0049291625155
baseline,1.0,38.0,85,M_pro,6.5982585022988145
baseline,1.0,39.0,86,M_pro,7.0513687802988
baseline,1.0,40.0,86,M_pro,7.38959588437373
baseline,1.0,41.0,86,M_pro,7.6336490370880465
baseline,1.0,42.0,86,M_pro,7.802157734698184
